Match,Player,PTS_REB_AST,Odd+PTS_REB_AST,Odd-PTS_REB_AST,PTS_REB,Odd+PTS_REB,Odd-PTS_REB,PTS_AST,Odd+PTS_AST,Odd-PTS_AST,REB_AST,Odd+REB_AST,Odd-REB_AST,REB,Odd+REB,Odd-REB,AST,Odd+AST,Odd-AST,NB3PTS,Odd+NB3PTS,Odd-NB3PTS,Odd20PTS,Odd25PTS,Odd30PTS,Odd35PTS,Odd40PTS,Odd3REB+,Odd5REB+,Odd7REB+,Odd10REB+,Odd13REB+,Odd15REB+,Odd3AST+,Odd5AST+,Odd7AST+,Odd10AST+,id,FullName,OddPTS_REB_AST,OddPTS_REB,OddPTS_AST,OddREB_AST,OddREB,OddAST
Dallas Mavericks - Denver Nuggets,Aaron Gordon,20.5,,,18.5,,,14.5,,,7.5,,,5.5,,,1.5,,,,,,6.0,,,,,,1.35,2.35,8.0,,,2.4,,,,15/11/2021aaron gordon,aaron gordon,1.82,1.86,1.8,1.7,1.74,1.5
Denver Nuggets - Philadelphia 76ers,Aaron Gordon,20.5,1.84,1.8,18.5,1.84,1.78,14.5,1.8,1.82,7.5,1.72,1.9,5.5,1.76,1.86,1.5,1.56,2.2,,,,5.8,13.5,,,,,1.39,2.35,5.7,8.25,,2.45,6.0,8.5,,18/11/2021aaron gordon,aaron gordon,,,,,,
Washington Wizards - New Orleans Pelicans,Aaron Holiday,18.5,1.76,1.86,14.5,1.78,1.84,,,,7.5,1.84,1.8,3.5,2.1,1.62,3.5,1.6,2.15,1.5,2.2,1.56,7.0,,,,,1.47,3.0,6.0,,,,1.25,2.25,5.0,,15/11/2021aaron holiday,aaron holiday,,,,,,
Cleveland Cavaliers - Boston Celtics,Al Horford,22.5,1.84,1.78,19.5,1.82,1.8,15.5,1.88,1.74,10.5,1.96,1.68,7.5,2.1,1.62,2.5,1.68,1.96,1.5,2.15,1.58,7.0,14.0,,,,1.03,1.17,1.6,3.6,7.0,,1.7,4.0,,,15/11/2021al horford,al horford,,,,,,
Boston Celtics - Los Angeles Lakers,Al Horford,24.5,,,21.5,,,17.5,,,10.5,,,7.5,,,3.5,,,,,,4.5,9.0,,,,1.03,1.13,1.5,3.0,6.0,,1.5,3.5,,,19/11/2021al horford,al horford,1.76,1.8,1.86,1.76,1.84,2.15
Boston Celtics - Oklahoma City Thunder,Al Horford,25.5,,,22.5,,,17.5,,,11.5,,,7.5,,,2.5,,,,,,5.0,10.0,,,,1.02,1.1,1.38,2.75,5.7,7.75,1.56,3.5,6.6,,20/11/2021al horford,al horford,1.76,1.78,1.76,1.98,1.66,1.56
Boston Celtics - Houston Rockets,Al Horford,24.5,,,21.5,,,16.5,,,11.5,,,7.5,,,3.5,,,,,,4.0,9.5,,,,,,,,,,1.44,2.95,,,22/11/2021al horford,al horford,1.74,1.8,1.76,1.86,1.7,2.0
Boston Celtics - Brooklyn Nets,Al Horford,23.5,1.76,1.86,20.5,1.78,1.84,16.5,1.84,1.78,10.5,1.8,1.82,7.5,1.88,1.74,3.5,2.2,1.56,1.5,1.96,1.68,6.0,,,,,,1.1,1.5,3.8,12.0,,1.5,3.8,12.0,,24/11/2021al horford,al horford,,,,,,
New York Knicks - Houston Rockets,Alec Burks,17.5,,,15.5,,,13.5,,,6.5,,,4.5,,,1.5,,,,,,5.5,11.0,,,,1.23,2.1,4.2,8.0,,,2.4,5.8,8.25,,20/11/2021alec burks,alec burks,1.74,1.76,1.78,1.94,2.1,1.5
Denver Nuggets - Chicago Bulls,Alex Caruso,18.5,,,13.5,,,13.5,,,9.5,,,4.5,,,4.5,,,,,,10.0,,,,,1.15,1.8,3.5,,,,1.2,2.0,4.0,,19/11/2021alex caruso,alex caruso,1.82,1.74,1.78,1.9,1.8,1.94
Chicago Bulls - New York Knicks,Alex Caruso,17.5,,,13.5,,,12.5,,,8.5,,,4.5,,,3.5,,,,,,14.0,,,,,1.15,1.74,3.4,7.5,,,1.27,2.3,4.7,8.25,21/11/2021alex caruso,alex caruso,1.8,1.8,1.78,1.74,1.74,1.64
Utah Jazz - Philadelphia 76ers,Andre Drummond,27.5,,,24.5,,,13.5,,,15.5,,,13.5,,,2.5,,,,,,7.5,15.0,,,,1.02,1.04,1.08,1.25,1.66,2.2,2.3,5.5,,,16/11/2021andre drummond,andre drummond,1.86,1.78,1.78,1.82,1.86,2.3
Denver Nuggets - Philadelphia 76ers,Andre Drummond,25.5,,,23.5,,,13.5,,,14.5,,,12.5,,,1.5,,,,,,5.0,12.0,,,,1.02,1.05,1.11,1.32,1.8,2.4,2.55,6.0,7.75,,18/11/2021andre drummond,andre drummond,1.78,1.78,1.84,1.8,1.8,1.6
Portland Trail Blazers - Philadelphia 76ers,Andre Drummond,24.5,1.76,1.86,23.5,1.86,1.76,12.5,1.78,1.86,14.5,1.9,1.74,12.5,1.88,1.74,1.5,1.64,2.05,,,,9.0,,,,,1.03,1.06,1.12,1.35,1.9,2.5,2.7,,,,20/11/2021andre drummond,andre drummond,,,,,,
Brooklyn Nets - Golden State Warriors,Andre Iguodala,11.5,,,8.5,,,7.5,,,6.5,,,3.5,,,2.5,,,,,,,,,,,,,,,,,,,,,16/11/2021andre iguodala,andre iguodala,1.94,1.92,1.78,1.96,1.98,1.66
Brooklyn Nets - Golden State Warriors,Andrew Wiggins,23.5,,,22.5,,,19.5,,,6.5,,,4.5,,,1.5,,,,,,2.4,5.0,10.0,,,1.18,1.86,3.8,7.5,,,6.0,7.0,,,16/11/2021andrew wiggins,andrew wiggins,1.78,1.88,1.86,1.9,1.88,1.78
Golden State Warriors - Toronto Raptors,Andrew Wiggins,24.5,,,22.5,,,20.5,,,6.5,,,4.5,,,2.5,,,,,,2.3,5.1,12.0,,,1.17,1.84,3.7,7.75,,,2.25,5.4,8.25,,21/11/2021andrew wiggins,andrew wiggins,1.8,1.82,1.9,1.68,1.84,2.25
Golden State Warriors - Philadelphia 76ers,Andrew Wiggins,24.5,1.76,1.88,22.5,1.74,1.88,20.5,1.84,1.78,6.5,1.76,1.86,4.5,1.84,1.78,1.5,1.58,2.2,1.5,1.92,1.72,2.1,4.5,10.0,20.0,,1.15,1.86,4.5,,,,2.6,10.0,,,24/11/2021andrew wiggins,andrew wiggins,,,,,,
Portland Trail Blazers - Denver Nuggets,Anfernee Simons,12.5,1.86,1.76,10.5,1.8,1.82,9.5,1.74,1.9,3.5,1.66,2.0,2.5,2.25,1.54,1.5,1.84,1.78,1.5,2.15,1.6,12.0,,,,,2.25,5.5,8.25,,,,3.3,7.25,,,23/11/2021anfernee simons,anfernee simons,,,,,,
Los Angeles Lakers - Chicago Bulls,Anthony Davis,39.5,,,37.5,,,28.5,,,14.5,,,11.5,,,2.5,,,,,,1.3,1.68,2.45,3.8,,1.02,1.03,1.09,1.34,2.15,3.2,1.72,4.0,6.8,,15/11/2021anthony davis,anthony davis,1.76,1.84,1.82,1.82,1.76,1.72
Detroit Pistons - Los Angeles Lakers,Anthony Davis,35.5,,,33.5,,,25.5,,,12.5,,,10.5,,,2.5,,,,,,1.4,2.25,4.5,6.5,13.0,,,1.16,1.58,2.45,3.5,2.25,5.6,8.25,,21/11/2021anthony davis,anthony davis,1.78,1.8,1.84,1.74,1.8,2.25
Minnesota Timberwolves - Phoenix Suns,Anthony Edwards,33.5,1.84,1.78,29.5,1.8,1.82,27.5,1.84,1.78,9.5,1.82,1.8,5.5,1.66,2.0,3.5,1.82,1.8,2.5,1.72,1.92,1.35,1.96,3.8,7.5,15.0,1.09,1.38,2.05,4.1,6.8,8.0,1.35,2.65,5.4,8.5,15/11/2021anthony edwards,anthony edwards,,,,,,
Minnesota Timberwolves - San Antonio Spurs,Anthony Edwards,,,,,,,,,,,,,,,,3.5,,,,,,1.31,1.84,3.0,5.5,6.1,1.09,1.37,1.98,3.9,,7.5,1.33,2.5,5.0,7.75,18/11/2021anthony edwards,anthony edwards,,,,,,1.74
Minnesota Timberwolves - Memphis Grizzlies,Anthony Edwards,33.5,1.82,1.8,29.5,1.8,1.82,27.5,1.84,1.78,10.5,1.94,1.7,6.5,1.96,1.68,3.5,1.68,1.98,2.5,1.64,2.05,1.35,2.0,4.0,8.0,,1.1,1.35,1.96,4.0,,,1.3,2.35,5.0,,20/11/2021anthony edwards,anthony edwards,,,,,,
New Orleans Pelicans - Minnesota Timberwolves,Anthony Edwards,31.5,1.8,1.82,28.5,1.88,1.74,26.5,1.88,1.74,9.5,1.94,1.7,5.5,1.8,1.82,3.5,1.9,1.72,2.5,1.6,2.15,1.45,2.3,4.5,9.0,,1.15,1.5,2.25,4.5,,,1.4,3.0,6.0,,22/11/2021anthony edwards,anthony edwards,,,,,,
Minnesota Timberwolves - Miami Heat,Anthony Edwards,31.5,1.86,1.78,27.5,1.82,1.8,25.5,1.76,1.88,8.5,1.68,1.96,5.5,1.9,1.72,3.5,1.76,1.86,3.5,2.1,1.62,1.5,2.45,4.8,10.0,,1.18,1.58,2.4,4.7,7.5,8.25,1.33,2.55,5.2,8.5,24/11/2021anthony edwards,anthony edwards,,,,,,
Los Angeles Lakers - Chicago Bulls,Avery Bradley,9.5,,,8.5,,,7.5,,,3.5,,,2.5,,,0.5,,,,,,6.2,7.25,7.75,,,2.2,5.2,7.75,,,,4.6,7.75,,,15/11/2021avery bradley,avery bradley,1.82,1.86,1.88,2.0,2.2,1.4
Detroit Pistons - Los Angeles Lakers,Avery Bradley,8.5,,,7.5,,,6.5,,,2.5,,,1.5,,,0.5,,,,,,12.0,,,,,2.55,6.2,8.5,,,,6.0,,,,21/11/2021avery bradley,avery bradley,1.82,1.8,1.82,1.7,1.58,1.62
Chicago Bulls - New York Knicks,Ayo Dosunmu,11.5,,,10.5,,,8.5,,,4.5,,,3.5,,,1.5,,,,,,,,,,,1.39,2.75,5.7,8.5,,,4.2,8.0,,,21/11/2021ayo dosunmu,ayo dosunmu,1.74,1.8,1.88,1.72,1.88,2.3
