URL,Name,FullName,Team,POS,AGE,HT,WT,COLLEGE,SALARY
https://www.espn.com/nba/player/_/id/3917376/jaylen-brown,Jaylen Brown7,jaylenbrown,BostonCeltics,SG,25,"6' 6""",223 lbs,California,"$26,758,928"
https://www.espn.com/nba/player/_/id/4277952/bruno-fernando,Bruno Fernando28,brunofernando,BostonCeltics,F,23,"6' 9""",240 lbs,Maryland,"$1,782,621"
https://www.espn.com/nba/player/_/id/4065804/sam-hauser,Sam Hauser30,samhauser,BostonCeltics,SF,23,"6' 7""",217 lbs,Virginia,--
https://www.espn.com/nba/player/_/id/4017839/juancho-hernangomez,Juancho Hernangomez41,juanchohernangomez,BostonCeltics,F,26,"6' 9""",214 lbs,--,"$6,907,815"
https://www.espn.com/nba/player/_/id/3213/al-horford,Al Horford42,alhorford,BostonCeltics,C,35,"6' 9""",240 lbs,Florida,"$27,000,000"
https://www.espn.com/nba/player/_/id/6447/enes-kanter,Enes Kanter13,eneskanter,BostonCeltics,C,29,"6' 10""",250 lbs,Kentucky,"$1,669,178"
https://www.espn.com/nba/player/_/id/4397008/romeo-langford,Romeo Langford9,romeolangford,BostonCeltics,SG,22,"6' 5""",216 lbs,Indiana,"$3,804,360"
https://www.espn.com/nba/player/_/id/4396909/aaron-nesmith,Aaron Nesmith26,aaronnesmith,BostonCeltics,SF,22,"6' 5""",215 lbs,Vanderbilt,"$3,631,200"
https://www.espn.com/nba/player/_/id/3056600/jabari-parker,Jabari Parker20,jabariparker,BostonCeltics,PF,26,"6' 7""",245 lbs,Duke,"$1,669,178"
https://www.espn.com/nba/player/_/id/4066354/payton-pritchard,Payton Pritchard11,paytonpritchard,BostonCeltics,PG,23,"6' 1""",195 lbs,Oregon,"$2,137,440"
https://www.espn.com/nba/player/_/id/2581190/josh-richardson,Josh Richardson8,joshrichardson,BostonCeltics,SG,28,"6' 5""",200 lbs,Tennessee,"$11,615,328"
https://www.espn.com/nba/player/_/id/3032979/dennis-schroder,Dennis Schroder71,dennisschroder,BostonCeltics,PG,28,"6' 1""",172 lbs,--,"$5,890,000"
https://www.espn.com/nba/player/_/id/2990992/marcus-smart,Marcus Smart36,marcussmart,BostonCeltics,PG,27,"6' 4""",220 lbs,Oklahoma State,"$14,339,285"
https://www.espn.com/nba/player/_/id/4065648/jayson-tatum,Jayson Tatum0,jaysontatum,BostonCeltics,SF,23,"6' 8""",210 lbs,Duke,"$28,103,500"
https://www.espn.com/nba/player/_/id/4407254/brodric-thomas,Brodric Thomas97,brodricthomas,BostonCeltics,G,24,"6' 5""",185 lbs,Truman State,--
https://www.espn.com/nba/player/_/id/4066218/grant-williams,Grant Williams12,grantwilliams,BostonCeltics,PF,22,"6' 6""",236 lbs,Tennessee,"$2,617,800"
https://www.espn.com/nba/player/_/id/4066211/robert-williams-iii,Robert Williams III44,robertwilliamsiii,BostonCeltics,C,24,"6' 9""",237 lbs,Texas A&M,"$3,661,976"
https://www.espn.com/nba/player/_/id/2983/lamarcus-aldridge,LaMarcus Aldridge21,lamarcusaldridge,BrooklynNets,F,36,"6' 11""",250 lbs,Texas,"$1,669,178"
https://www.espn.com/nba/player/_/id/3062667/deandre-bembry,DeAndre' Bembry95,deandrebembry,BrooklynNets,SG,27,"6' 5""",210 lbs,Saint Joseph's,"$1,669,178"
https://www.espn.com/nba/player/_/id/4065670/bruce-brown,Bruce Brown1,brucebrown,BrooklynNets,SF,25,"6' 4""",202 lbs,Miami (FL),"$4,736,102"
https://www.espn.com/nba/player/_/id/3133635/jevon-carter,Jevon Carter0,jevoncarter,BrooklynNets,PG,26,"6' 1""",200 lbs,West Virginia,"$3,650,000"
https://www.espn.com/nba/player/_/id/4278067/nic-claxton,Nic Claxton33,nicclaxton,BrooklynNets,PF,22,"6' 11""",215 lbs,Georgia,"$1,782,621"
https://www.espn.com/nba/player/_/id/4397107/david-duke-jr,David Duke Jr.6,daviddukejr,BrooklynNets,G,22,"6' 4""",204 lbs,Providence,--
https://www.espn.com/nba/player/_/id/3202/kevin-durant,Kevin Durant7,kevindurant,BrooklynNets,PF,33,"6' 10""",240 lbs,Texas,"$42,018,900"
https://www.espn.com/nba/player/_/id/4397693/kessler-edwards,Kessler Edwards14,kessleredwards,BrooklynNets,SF,21,"6' 7""",203 lbs,Pepperdine,--
https://www.espn.com/nba/player/_/id/3989/blake-griffin,Blake Griffin2,blakegriffin,BrooklynNets,PF,32,"6' 9""",250 lbs,Oklahoma,"$1,669,178"
https://www.espn.com/nba/player/_/id/3992/james-harden,James Harden13,jamesharden,BrooklynNets,SG,32,"6' 5""",220 lbs,Arizona State,"$44,310,840"
https://www.espn.com/nba/player/_/id/2528794/joe-harris,Joe Harris12,joeharris,BrooklynNets,SF,30,"6' 6""",220 lbs,Virginia,"$17,357,143"
https://www.espn.com/nba/player/_/id/6442/kyrie-irving,Kyrie Irving11,kyrieirving,BrooklynNets,PG,29,"6' 2""",195 lbs,Duke,"$35,328,700"
https://www.espn.com/nba/player/_/id/3999/james-johnson,James Johnson16,jamesjohnson,BrooklynNets,PF,34,"6' 7""",240 lbs,Wake Forest,"$1,669,178"
https://www.espn.com/nba/player/_/id/4004/patty-mills,Patty Mills8,pattymills,BrooklynNets,PG,33,"6' 0""",180 lbs,Saint Mary's,"$5,890,000"
https://www.espn.com/nba/player/_/id/3015/paul-millsap,Paul Millsap31,paulmillsap,BrooklynNets,PF,36,"6' 7""",257 lbs,Louisiana Tech,"$1,669,178"
https://www.espn.com/nba/player/_/id/4432194/dayron-sharpe,Day'Ron Sharpe20,dayronsharpe,BrooklynNets,C,20,"6' 9""",265 lbs,North Carolina,"$2,009,040"
https://www.espn.com/nba/player/_/id/4432174/cam-thomas,Cam Thomas24,camthomas,BrooklynNets,SG,20,"6' 3""",210 lbs,LSU,"$2,036,280"
https://www.espn.com/nba/player/_/id/4395625/rj-barrett,RJ Barrett9,rjbarrett,New YorkKnicks,SG,21,"6' 6""",214 lbs,Duke,"$8,623,920"
https://www.espn.com/nba/player/_/id/6429/alec-burks,Alec Burks18,alecburks,New YorkKnicks,SG,30,"6' 6""",214 lbs,Colorado,"$9,536,000"
https://www.espn.com/nba/player/_/id/6588/evan-fournier,Evan Fournier13,evanfournier,New YorkKnicks,SG,29,"6' 6""",205 lbs,--,"$17,000,000"
https://www.espn.com/nba/player/_/id/3986/taj-gibson,Taj Gibson67,tajgibson,New YorkKnicks,C,36,"6' 9""",232 lbs,USC,"$4,910,000"
https://www.espn.com/nba/player/_/id/4397014/quentin-grimes,Quentin Grimes6,quentingrimes,New YorkKnicks,SG,21,"6' 4""",210 lbs,Houston,"$2,168,760"
https://www.espn.com/nba/player/_/id/4278075/kevin-knox-ii,Kevin Knox II20,kevinknoxii,New YorkKnicks,SF,22,"6' 7""",215 lbs,Kentucky,"$5,845,979"
