Place,Team,id,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER
Home,BostonCeltics,bos,5,,,106.0,12.2,30.6,42.8,20.0,8.0,6.0,15.6,16.0,1.3,
Away,BostonCeltics,bos,10,,,107.0,9.6,37.7,47.3,23.9,8.2,6.0,13.7,20.0,1.7,
Home,BrooklynNets,bkn,7,,,104.3,6.9,37.6,44.4,23.9,8.3,5.3,14.7,20.4,1.6,
Away,BrooklynNets,bkn,8,,,111.0,7.5,36.6,44.1,25.6,5.8,4.8,13.6,17.3,1.9,
Home,New YorkKnicks,ny,8,,,107.1,9.5,34.8,44.3,22.3,6.4,7.3,13.1,17.5,1.7,
Away,New YorkKnicks,ny,7,,,108.3,12.0,35.9,47.9,21.9,7.6,4.9,13.1,19.6,1.7,
Home,Philadelphia76ers,phi,8,,,108.9,7.8,32.1,39.9,23.9,8.5,6.9,11.4,18.8,2.1,
Away,Philadelphia76ers,phi,7,,,107.4,10.7,33.9,44.6,21.7,7.4,4.7,12.3,17.0,1.8,
Home,TorontoRaptors,tor,8,,,104.9,13.8,30.0,43.8,20.3,10.4,4.3,12.1,20.0,1.7,
Away,TorontoRaptors,tor,7,,,107.1,12.9,33.6,46.4,20.9,10.1,4.3,12.0,17.9,1.7,
Home,Golden StateWarriors,gs,9,,,116.4,10.2,38.6,48.8,29.7,11.1,4.8,16.1,19.7,1.8,
Away,Golden StateWarriors,gs,5,,,113.0,10.0,38.2,48.2,28.4,8.4,5.6,14.8,19.0,1.9,
Home,LAClippers,lac,10,,,108.2,8.8,37.4,46.2,23.3,9.3,4.9,14.4,17.4,1.6,
Away,LAClippers,lac,4,,,108.8,8.0,36.8,44.8,23.0,8.5,4.5,14.0,17.3,1.6,
Home,Los AngelesLakers,lal,12,,,109.8,9.9,34.9,44.8,24.1,9.2,6.3,16.6,20.0,1.5,
Away,Los AngelesLakers,lal,4,,,108.0,10.3,40.5,50.8,23.3,8.0,5.3,15.5,19.8,1.5,
